Example,Method,Best k
Example 1,RFS Unopt,5
Example 1,RFS Unopt,4
Example 1,RFS Unopt,3
Example 1,RFS Unopt,6
Example 1,RFS Unopt,4
Example 1,RFS Unopt,3
Example 1,RFS Unopt,2
Example 1,RFS Unopt,2
Example 1,RFS Unopt,4
Example 1,RFS Unopt,5
Example 1,RFS Unopt,4
Example 1,RFS Unopt,2
Example 1,RFS Unopt,6
Example 1,RFS Unopt,2
Example 1,RFS Unopt,4
Example 1,RFS Unopt,4
Example 1,RFS Unopt,2
Example 1,RFS Unopt,1
Example 1,RFS Unopt,4
Example 1,RFS Unopt,2
Example 1,RFS Unopt,3
Example 1,RFS Unopt,7
Example 1,RFS Unopt,2
Example 1,RFS Unopt,3
Example 1,RFS Unopt,2
Example 1,RFS Unopt,4
Example 1,RFS Unopt,2
Example 1,RFS Unopt,6
Example 1,RFS Unopt,4
Example 1,RFS Unopt,4
Example 1,RFS Unopt,4
Example 1,RFS Unopt,6
Example 1,RFS Unopt,4
Example 1,RFS Unopt,7
Example 1,RFS Unopt,5
Example 1,RFS Unopt,3
Example 1,RFS Unopt,5
Example 1,RFS Unopt,3
Example 1,RFS Unopt,4
Example 1,RFS Unopt,5
Example 1,RFS Unopt,3
Example 1,RFS Unopt,3
Example 1,RFS Unopt,3
Example 1,RFS Unopt,2
Example 1,RFS Unopt,4
Example 1,RFS Unopt,5
Example 1,RFS Unopt,2
Example 1,RFS Unopt,2
Example 1,RFS Unopt,4
Example 1,RFS Unopt,4
Example 1,RFS Opt,1
Example 1,RFS Opt,2
Example 1,RFS Opt,1
Example 1,RFS Opt,2
Example 1,RFS Opt,1
Example 1,RFS Opt,2
Example 1,RFS Opt,1
Example 1,RFS Opt,0
Example 1,RFS Opt,3
Example 1,RFS Opt,3
Example 1,RFS Opt,3
Example 1,RFS Opt,1
Example 1,RFS Opt,2
Example 1,RFS Opt,2
Example 1,RFS Opt,3
Example 1,RFS Opt,5
Example 1,RFS Opt,4
