Example,Best m
Example 1,8
Example 1,7
Example 1,6
Example 1,8
Example 1,6
Example 1,7
Example 1,4
Example 1,6
Example 1,3
Example 1,5
Example 1,7
Example 1,8
Example 1,7
Example 1,2
Example 1,3
Example 1,1
Example 1,1
Example 1,3
Example 1,4
Example 1,6
Example 1,4
Example 1,3
Example 1,5
Example 1,2
Example 1,4
Example 1,7
Example 1,1
Example 1,7
Example 1,7
Example 1,6
Example 1,6
Example 1,6
Example 1,7
Example 1,7
Example 1,5
Example 1,2
Example 1,6
Example 1,8
Example 1,6
Example 1,7
Example 1,2
Example 1,1
Example 1,8
Example 1,2
Example 1,7
Example 1,7
Example 1,1
Example 1,3
Example 1,2
Example 1,7
Example 2,1
Example 2,1
Example 2,1
Example 2,5
Example 2,1
Example 2,1
Example 2,7
Example 2,1
Example 2,1
Example 2,1
Example 2,6
Example 2,8
Example 2,1
Example 2,1
Example 2,2
Example 2,1
Example 2,1
Example 2,1
Example 2,1
Example 2,1
Example 2,1
Example 2,6
Example 2,2
Example 2,1
Example 2,1
Example 2,2
Example 2,1
Example 2,5
Example 2,1
Example 2,1
Example 2,1
Example 2,1
Example 2,1
Example 2,7
Example 2,1
Example 2,1
Example 2,1
Example 2,1
Example 2,1
Example 2,4
Example 2,1
Example 2,1
Example 2,1
Example 2,1
Example 2,4
Example 2,1
Example 2,1
Example 2,1
Example 2,4
Example 2,1
Example 3,1
Example 3,1
Example 3,1
Example 3,1
Example 3,1
Example 3,1
Example 3,1
Example 3,1
Example 3,2
Example 3,1
Example 3,1
Example 3,1
Example 3,1
Example 3,1
Example 3,5
Example 3,1
Example 3,2
Example 3,1
Example 3,1
Example 3,2
Example 3,7
Example 3,1
Example 3,1
Example 3,40
Example 3,2
Example 3,2
Example 3,1
Example 3,1
Example 3,1
Example 3,2
Example 3,1
Example 3,1
Example 3,1
Example 3,2
Example 3,6
Example 3,1
Example 3,1
Example 3,1
Example 3,1
Example 3,2
Example 3,1
Example 3,12
Example 3,33
Example 3,4
Example 3,1
Example 3,3
Example 3,1
Example 3,1
Example 3,1
Example 3,1
Example 4,20
Example 4,7
Example 4,5
Example 4,11
Example 4,38
Example 4,40
Example 4,36
Example 4,1
Example 4,24
Example 4,30
Example 4,22
Example 4,23
Example 4,25
Example 4,32
Example 4,40
Example 4,40
Example 4,1
Example 4,6
Example 4,26
Example 4,6
Example 4,15
Example 4,20
Example 4,2
Example 4,5
Example 4,3
Example 4,18
Example 4,40
Example 4,4
Example 4,5
Example 4,6
Example 4,5
Example 4,2
Example 4,26
Example 4,40
Example 4,26
Example 4,4
Example 4,4
Example 4,7
Example 4,8
Example 4,10
Example 4,3
Example 4,14
Example 4,28
Example 4,1
Example 4,1
Example 4,13
Example 4,40
Example 4,10
Example 4,6
Example 4,15
Example 5,98
Example 5,99
Example 5,89
Example 5,89
Example 5,100
Example 5,78
Example 5,59
Example 5,69
Example 5,99
Example 5,41
Example 5,98
Example 5,98
Example 5,91
Example 5,60
Example 5,99
Example 5,48
Example 5,100
Example 5,100
Example 5,38
Example 5,100
Example 5,95
Example 5,100
Example 5,100
Example 5,99
Example 5,98
Example 5,38
Example 5,94
Example 5,98
Example 5,80
Example 5,87
Example 5,93
Example 5,99
Example 5,100
Example 5,97
Example 5,99
Example 5,49
Example 5,28
Example 5,88
Example 5,32
Example 5,99
Example 5,89
Example 5,100
Example 5,97
Example 5,100
Example 5,97
Example 5,99
Example 5,98
Example 5,26
Example 5,96
Example 5,93
Example 6,96
Example 6,88
Example 6,95
Example 6,76
Example 6,88
Example 6,99
Example 6,51
Example 6,93
Example 6,96
Example 6,62
Example 6,91
Example 6,96
Example 6,98
Example 6,99
Example 6,70
Example 6,31
Example 6,99
Example 6,98
Example 6,95
Example 6,99
Example 6,93
Example 6,36
Example 6,95
Example 6,92
Example 6,51
Example 6,56
Example 6,96
Example 6,96
Example 6,96
Example 6,96
Example 6,98
Example 6,100
Example 6,95
Example 6,82
Example 6,72
Example 6,96
Example 6,99
Example 6,39
Example 6,96
Example 6,99
Example 6,99
Example 6,98
Example 6,97
Example 6,99
Example 6,100
Example 6,96
Example 6,97
Example 6,34
Example 6,90
Example 6,97
