Dataset,Method,Best k
Satellite Image,RFS Unopt,22
Satellite Image,RFS Unopt,12
Satellite Image,RFS Unopt,36
Satellite Image,RFS Unopt,26
Satellite Image,RFS Unopt,16
Satellite Image,RFS Unopt,25
Satellite Image,RFS Unopt,16
Satellite Image,RFS Unopt,22
Satellite Image,RFS Unopt,25
Satellite Image,RFS Unopt,19
Satellite Image,RFS Unopt,18
Satellite Image,RFS Unopt,16
Satellite Image,RFS Unopt,12
Satellite Image,RFS Unopt,27
Satellite Image,RFS Unopt,32
Satellite Image,RFS Unopt,18
Satellite Image,RFS Unopt,16
Satellite Image,RFS Unopt,25
Satellite Image,RFS Unopt,18
Satellite Image,RFS Unopt,23
Satellite Image,RFS Unopt,19
Satellite Image,RFS Unopt,13
Satellite Image,RFS Unopt,26
Satellite Image,RFS Unopt,21
Satellite Image,RFS Unopt,16
Satellite Image,RFS Unopt,23
Satellite Image,RFS Unopt,22
Satellite Image,RFS Unopt,13
Satellite Image,RFS Unopt,31
Satellite Image,RFS Unopt,36
Satellite Image,RFS Unopt,28
Satellite Image,RFS Unopt,33
Satellite Image,RFS Unopt,30
Satellite Image,RFS Unopt,18
Satellite Image,RFS Unopt,21
Satellite Image,RFS Unopt,17
Satellite Image,RFS Unopt,33
Satellite Image,RFS Unopt,19
Satellite Image,RFS Unopt,26
Satellite Image,RFS Unopt,17
Satellite Image,RFS Unopt,36
Satellite Image,RFS Unopt,25
Satellite Image,RFS Unopt,35
Satellite Image,RFS Unopt,36
Satellite Image,RFS Unopt,11
Satellite Image,RFS Unopt,16
Satellite Image,RFS Unopt,28
Satellite Image,RFS Unopt,16
Satellite Image,RFS Unopt,20
Satellite Image,RFS Unopt,18
Satellite Image,RFS Opt,24
Satellite Image,RFS Opt,5
Satellite Image,RFS Opt,20
Satellite Image,RFS Opt,25
Satellite Image,RFS Opt,24
Satellite Image,RFS Opt,15
Satellite Image,RFS Opt,21
Satellite Image,RFS Opt,17
Satellite Image,RFS Opt,16
Satellite Image,RFS Opt,18
Satellite Image,RFS Opt,18
Satellite Image,RFS Opt,13
Satellite Image,RFS Opt,10
Satellite Image,RFS Opt,24
Satellite Image,RFS Opt,28
Satellite Image,RFS Opt,11
Satellite Image,RFS Opt,22
Satellite Image,RFS Opt,11
Satellite Image,RFS Opt,13
Satellite Image,RFS Opt,25
Satellite Image,RFS Opt,17
Satellite Image,RFS Opt,22
Satellite Image,RFS Opt,20
Satellite Image,RFS Opt,18
Satellite Image,RFS Opt,21
Satellite Image,RFS Opt,13
Satellite Image,RFS Opt,16
Satellite Image,RFS Opt,15
Satellite Image,RFS Opt,9
Satellite Image,RFS Opt,25
Satellite Image,RFS Opt,26
Satellite Image,RFS Opt,8
Satellite Image,RFS Opt,20
Satellite Image,RFS Opt,15
Satellite Image,RFS Opt,10
Satellite Image,RFS Opt,17
Satellite Image,RFS Opt,19
Satellite Image,RFS Opt,20
Satellite Image,RFS Opt,17
Satellite Image,RFS Opt,17
Satellite Image,RFS Opt,19
Satellite Image,RFS Opt,21
Satellite Image,RFS Opt,29
Satellite Image,RFS Opt,24
Satellite Image,RFS Opt,10
Satellite Image,RFS Opt,15
Satellite Image,RFS Opt,26
Satellite Image,RFS Opt,18
Satellite Image,RFS Opt,16
Satellite Image,RFS Opt,14
Satellite Image,FS,21
Satellite Image,FS,21
Satellite Image,FS,36
Satellite Image,FS,25
Satellite Image,FS,29
Satellite Image,FS,26
Satellite Image,FS,19
Satellite Image,FS,23
Satellite Image,FS,30
Satellite Image,FS,16
Satellite Image,FS,17
Satellite Image,FS,11
Satellite Image,FS,36
Satellite Image,FS,25
Satellite Image,FS,32
Satellite Image,FS,10
Satellite Image,FS,23
Satellite Image,FS,27
Satellite Image,FS,16
Satellite Image,FS,20
Satellite Image,FS,20
Satellite Image,FS,35
Satellite Image,FS,23
Satellite Image,FS,21
Satellite Image,FS,21
Satellite Image,FS,29
Satellite Image,FS,21
Satellite Image,FS,13
Satellite Image,FS,29
Satellite Image,FS,24
Satellite Image,FS,31
Satellite Image,FS,32
Satellite Image,FS,28
Satellite Image,FS,14
Satellite Image,FS,20
Satellite Image,FS,17
Satellite Image,FS,22
Satellite Image,FS,27
Satellite Image,FS,21
Satellite Image,FS,16
Satellite Image,FS,36
Satellite Image,FS,22
Satellite Image,FS,35
Satellite Image,FS,36
Satellite Image,FS,21
Satellite Image,FS,22
Satellite Image,FS,28
Satellite Image,FS,17
Satellite Image,FS,24
Satellite Image,FS,17
