Dataset,Method,MSE
Auto Pricing,Lasso,27290750.483496774
Auto Pricing,Lasso,26025287.128697436
Auto Pricing,Lasso,41958515.66727851
Auto Pricing,Lasso,30916898.222436305
Auto Pricing,Lasso,8982350.756003808
Auto Pricing,Lasso,22103533.06389271
Auto Pricing,Lasso,16873095.708945256
Auto Pricing,Lasso,22697848.96672884
Auto Pricing,Lasso,13416514.731362287
Auto Pricing,Lasso,14518911.737448798
Auto Pricing,Lasso,15208827.911124187
Auto Pricing,Lasso,9592765.347203484
Auto Pricing,Lasso,26702579.84559842
Auto Pricing,Lasso,54686755.704443835
Auto Pricing,Lasso,136160537.31778353
Auto Pricing,Lasso,18648782.94050692
Auto Pricing,Lasso,12560473.686861193
Auto Pricing,Lasso,8051642.949541239
Auto Pricing,Lasso,22025907.96764348
Auto Pricing,Lasso,16446761.840264918
Auto Pricing,Lasso,14882728.053642502
Auto Pricing,Lasso,8652665.064161396
Auto Pricing,Lasso,14037712.98770151
Auto Pricing,Lasso,11165353.524067784
Auto Pricing,Lasso,12752821.120610012
Auto Pricing,Lasso,13325753.039716054
Auto Pricing,Lasso,13626327.050698966
Auto Pricing,Lasso,27947025.382738717
Auto Pricing,Lasso,19323741.813705478
Auto Pricing,Lasso,16426511.153331766
Auto Pricing,Lasso,14107034.929681927
Auto Pricing,Lasso,13887972.609836712
Auto Pricing,Lasso,13474095.475157812
Auto Pricing,Lasso,33247124.98907298
Auto Pricing,Lasso,21222513.957002036
Auto Pricing,Lasso,23443085.723611563
Auto Pricing,Lasso,12871535.348487398
Auto Pricing,Lasso,12254738.248786787
Auto Pricing,Lasso,15079134.267290311
Auto Pricing,Lasso,20726213.505834438
Auto Pricing,Lasso,14658739.39922941
Auto Pricing,Lasso,14193597.23248185
Auto Pricing,Lasso,162354517.93191952
Auto Pricing,Lasso,9545811.6827211
Auto Pricing,Lasso,14106482.692905234
Auto Pricing,Lasso,21704870.992316626
Auto Pricing,Lasso,18121304.331536755
Auto Pricing,Lasso,37648596.211322665
Auto Pricing,Lasso,16784482.548705515
Auto Pricing,Lasso,36510648.55816812
Auto Pricing,Elastic Net,8486911.202979144
Auto Pricing,Elastic Net,16111700.864760239
Auto Pricing,Elastic Net,14472810.707446115
Auto Pricing,Elastic Net,9922818.42880908
Auto Pricing,Elastic Net,6376647.811077805
Auto Pricing,Elastic Net,13290259.350871688
Auto Pricing,Elastic Net,10986894.539774558
Auto Pricing,Elastic Net,8118210.2952698935
Auto Pricing,Elastic Net,12102326.745914731
Auto Pricing,Elastic Net,11638794.179994915
Auto Pricing,Elastic Net,13330381.255215084
Auto Pricing,Elastic Net,8545888.312324848
Auto Pricing,Elastic Net,9921109.133498106
Auto Pricing,Elastic Net,12664371.816254351
Auto Pricing,Elastic Net,15115865.870761802
Auto Pricing,Elastic Net,13723163.493506584
Auto Pricing,Elastic Net,27113692.399576537
Auto Pricing,Elastic Net,9702343.075127767
Auto Pricing,Elastic Net,14370869.932802191
Auto Pricing,Elastic Net,15318936.401091162
Auto Pricing,Elastic Net,9864439.659844441
Auto Pricing,Elastic Net,7211896.795239108
Auto Pricing,Elastic Net,6588957.078710035
Auto Pricing,Elastic Net,9188292.62021198
Auto Pricing,Elastic Net,7844832.070330049
Auto Pricing,Elastic Net,5605816.7690464575
Auto Pricing,Elastic Net,8889384.055922301
Auto Pricing,Elastic Net,11268254.915289478
Auto Pricing,Elastic Net,19323741.813705478
Auto Pricing,Elastic Net,8983130.298278319
Auto Pricing,Elastic Net,8883544.594283586
Auto Pricing,Elastic Net,9027524.393223522
Auto Pricing,Elastic Net,10091882.464156564
Auto Pricing,Elastic Net,8119041.9297298575
Auto Pricing,Elastic Net,18139525.31821161
Auto Pricing,Elastic Net,23443085.723611563
Auto Pricing,Elastic Net,10246153.176173273
Auto Pricing,Elastic Net,8421209.475838186
Auto Pricing,Elastic Net,12211201.586375548
Auto Pricing,Elastic Net,22209764.579132535
Auto Pricing,Elastic Net,11230428.672515657
Auto Pricing,Elastic Net,15456891.324236596
Auto Pricing,Elastic Net,162354517.93191952
Auto Pricing,Elastic Net,6866742.763156521
Auto Pricing,Elastic Net,11786471.065806868
Auto Pricing,Elastic Net,21704870.992316626
Auto Pricing,Elastic Net,12969409.264743423
Auto Pricing,Elastic Net,21418168.696821768
Auto Pricing,Elastic Net,10682811.199366955
Auto Pricing,Elastic Net,11605222.44189864
Auto Pricing,Ridge,8484827.911422616
Auto Pricing,Ridge,12968336.936840836
Auto Pricing,Ridge,35914530.42911644
Auto Pricing,Ridge,9455244.382397009
Auto Pricing,Ridge,6306015.77785031
Auto Pricing,Ridge,9032375.018628733
Auto Pricing,Ridge,10228221.809446488
Auto Pricing,Ridge,7737872.068763657
Auto Pricing,Ridge,8146780.4218317885
Auto Pricing,Ridge,11852351.838146737
Auto Pricing,Ridge,12830575.480162302
Auto Pricing,Ridge,8017109.016369476
Auto Pricing,Ridge,25604826.319357574
Auto Pricing,Ridge,11462576.927145137
Auto Pricing,Ridge,13365625.120115658
Auto Pricing,Ridge,8089820.819425891
Auto Pricing,Ridge,9148282.681947505
Auto Pricing,Ridge,9180660.626169221
Auto Pricing,Ridge,13586408.268734414
Auto Pricing,Ridge,14193556.778714312
Auto Pricing,Ridge,11982398.408307403
Auto Pricing,Ridge,8081083.941475532
Auto Pricing,Ridge,6706857.931588953
Auto Pricing,Ridge,8525037.578248696
Auto Pricing,Ridge,8070185.342793501
Auto Pricing,Ridge,5887536.23868345
Auto Pricing,Ridge,8982441.640121145
Auto Pricing,Ridge,8342896.906517842
Auto Pricing,Ridge,14742029.185890663
Auto Pricing,Ridge,9051531.323961401
Auto Pricing,Ridge,9183846.549585667
Auto Pricing,Ridge,8837598.255505392
Auto Pricing,Ridge,7573426.951617374
Auto Pricing,Ridge,9020068.539737524
Auto Pricing,Ridge,18273148.38563168
Auto Pricing,Ridge,24911716.551093347
Auto Pricing,Ridge,10286501.005472435
Auto Pricing,Ridge,8630883.419496346
Auto Pricing,Ridge,12400644.697370782
Auto Pricing,Ridge,10703688.001766348
Auto Pricing,Ridge,10952345.816062901
Auto Pricing,Ridge,15124868.80534477
Auto Pricing,Ridge,7540392.555288873
Auto Pricing,Ridge,7628339.995203395
Auto Pricing,Ridge,10035939.408141302
Auto Pricing,Ridge,18900429.84105435
Auto Pricing,Ridge,10475380.233749995
Auto Pricing,Ridge,27385876.414239764
Auto Pricing,Ridge,10871319.685031267
Auto Pricing,Ridge,13545291.454453783
Auto Pricing,RFS Unopt,22089503.57254317
Auto Pricing,RFS Unopt,19234109.685284078
Auto Pricing,RFS Unopt,12657847.687728819
Auto Pricing,RFS Unopt,16900544.48653937
Auto Pricing,RFS Unopt,6417932.807479878
Auto Pricing,RFS Unopt,17436419.293949775
Auto Pricing,RFS Unopt,12050938.0256528
Auto Pricing,RFS Unopt,12800335.223140998
Auto Pricing,RFS Unopt,9254695.553707665
Auto Pricing,RFS Unopt,12792133.645351937
Auto Pricing,RFS Unopt,9508224.669824073
Auto Pricing,RFS Unopt,10218816.992919834
Auto Pricing,RFS Unopt,8882218.169067599
Auto Pricing,RFS Unopt,11807940.342669295
Auto Pricing,RFS Unopt,26287007.992597163
Auto Pricing,RFS Unopt,13045400.864011427
Auto Pricing,RFS Unopt,14793226.181340324
Auto Pricing,RFS Unopt,8116572.946745073
Auto Pricing,RFS Unopt,17640182.65472538
Auto Pricing,RFS Unopt,13589179.602781998
Auto Pricing,RFS Unopt,6729244.049057512
Auto Pricing,RFS Unopt,9529773.976745708
Auto Pricing,RFS Unopt,19272123.917996578
Auto Pricing,RFS Unopt,10910482.401100563
Auto Pricing,RFS Unopt,8533566.664367536
Auto Pricing,RFS Unopt,10234059.237368587
Auto Pricing,RFS Unopt,13363351.084039386
Auto Pricing,RFS Unopt,6745983.210891762
Auto Pricing,RFS Unopt,18172511.24760921
Auto Pricing,RFS Unopt,20801807.393681403
Auto Pricing,RFS Unopt,11939067.976485346
Auto Pricing,RFS Unopt,11684969.36961857
Auto Pricing,RFS Unopt,7195698.800116865
Auto Pricing,RFS Unopt,5939880.293361123
Auto Pricing,RFS Unopt,19173513.34235129
Auto Pricing,RFS Unopt,11354688.75886641
Auto Pricing,RFS Unopt,8447113.141441863
Auto Pricing,RFS Unopt,7333633.960443039
Auto Pricing,RFS Unopt,16059348.160926823
Auto Pricing,RFS Unopt,10002466.5753591
Auto Pricing,RFS Unopt,8333722.6314494675
Auto Pricing,RFS Unopt,15050332.63926011
Auto Pricing,RFS Unopt,6186785.247680076
Auto Pricing,RFS Unopt,9528979.2279111
Auto Pricing,RFS Unopt,10440405.359269658
Auto Pricing,RFS Unopt,7505124.852973057
Auto Pricing,RFS Unopt,9360220.505641017
Auto Pricing,RFS Unopt,7440167.744715629
Auto Pricing,RFS Unopt,18259873.45680972
Auto Pricing,RFS Unopt,18681879.864334453
Auto Pricing,RFS Opt,10150318.372759389
Auto Pricing,RFS Opt,10234175.09930932
Auto Pricing,RFS Opt,9191664.655789752
Auto Pricing,RFS Opt,10424851.587648217
Auto Pricing,RFS Opt,8024568.041233281
Auto Pricing,RFS Opt,9424982.392709477
Auto Pricing,RFS Opt,9179301.843904668
Auto Pricing,RFS Opt,6778112.10463532
Auto Pricing,RFS Opt,8596248.297484672
Auto Pricing,RFS Opt,12969842.120247424
Auto Pricing,RFS Opt,10173948.265583295
Auto Pricing,RFS Opt,9693189.819958705
Auto Pricing,RFS Opt,8179662.412262735
Auto Pricing,RFS Opt,8381809.633607994
Auto Pricing,RFS Opt,10252402.24133122
