Example,Method,MSE
Example 1,Lasso,10.20228442888579
Example 1,Lasso,10.778518075571252
Example 1,Lasso,10.209062586475627
Example 1,Lasso,11.467626041153943
Example 1,Lasso,9.202354317174514
Example 1,Lasso,14.542877286148954
Example 1,Lasso,11.488661633075322
Example 1,Lasso,11.270374416757637
Example 1,Lasso,7.995642779321333
Example 1,Lasso,11.620252207819306
Example 1,Lasso,9.747882621252604
Example 1,Lasso,10.951558052045538
Example 1,Lasso,14.125390553196697
Example 1,Lasso,9.703049729540629
Example 1,Lasso,9.241584569152153
Example 1,Lasso,10.93854433570783
Example 1,Lasso,12.526441442024277
Example 1,Lasso,10.213405239211145
Example 1,Lasso,8.957073250372105
Example 1,Lasso,9.945102972119953
Example 1,Lasso,11.037188240837997
Example 1,Lasso,12.453665997206707
Example 1,Lasso,10.038243820206816
Example 1,Lasso,9.55475617020637
Example 1,Lasso,11.365268895793431
Example 1,Lasso,10.730608460983246
Example 1,Lasso,11.500478067364854
Example 1,Lasso,9.53862098830082
Example 1,Lasso,10.596937624300242
Example 1,Lasso,12.056501795462378
Example 1,Lasso,11.690188748344356
Example 1,Lasso,10.435804009536806
Example 1,Lasso,12.732739073034328
Example 1,Lasso,11.064730706421345
Example 1,Lasso,10.536654122192125
Example 1,Lasso,10.161429454211515
Example 1,Lasso,10.715898332910186
Example 1,Lasso,11.980724746520512
Example 1,Lasso,9.34608597877431
Example 1,Lasso,12.56910874276757
Example 1,Lasso,9.58533578281423
Example 1,Lasso,9.893032532698177
Example 1,Lasso,11.947961287032241
Example 1,Lasso,9.049488953147234
Example 1,Lasso,10.238917937218185
Example 1,Lasso,10.609650866047717
Example 1,Lasso,8.97367664827967
Example 1,Lasso,10.042201716994215
Example 1,Lasso,11.63993704651025
Example 1,Lasso,10.395709877420865
Example 1,Elastic Net,10.374984190280001
Example 1,Elastic Net,10.778518075571252
Example 1,Elastic Net,10.209062586475627
Example 1,Elastic Net,11.540160038314852
Example 1,Elastic Net,9.210216061328223
Example 1,Elastic Net,14.095075018013725
Example 1,Elastic Net,12.081573287053255
Example 1,Elastic Net,11.381258398595548
Example 1,Elastic Net,7.995642779321333
Example 1,Elastic Net,11.620252207819306
Example 1,Elastic Net,9.747882621252604
Example 1,Elastic Net,10.891113784883919
Example 1,Elastic Net,14.009313357556147
Example 1,Elastic Net,9.703049729540629
Example 1,Elastic Net,9.208594551994024
Example 1,Elastic Net,10.946804263881937
Example 1,Elastic Net,12.52459242182949
Example 1,Elastic Net,10.213405239211145
Example 1,Elastic Net,8.957073250372105
Example 1,Elastic Net,9.944708181672544
Example 1,Elastic Net,11.095119762002126
Example 1,Elastic Net,12.492505708486403
Example 1,Elastic Net,10.038243820206816
Example 1,Elastic Net,9.289533134598852
Example 1,Elastic Net,12.17815727815498
Example 1,Elastic Net,11.083591602722514
Example 1,Elastic Net,11.321699398705466
Example 1,Elastic Net,9.53862098830082
Example 1,Elastic Net,10.594021767482316
Example 1,Elastic Net,12.056501795462378
Example 1,Elastic Net,11.690188748344356
Example 1,Elastic Net,10.435804009536806
Example 1,Elastic Net,13.31169426439397
Example 1,Elastic Net,11.064730706421345
Example 1,Elastic Net,10.528499193061476
Example 1,Elastic Net,10.161429454211515
Example 1,Elastic Net,12.065178139562008
Example 1,Elastic Net,12.149045083078203
Example 1,Elastic Net,9.69079640814653
Example 1,Elastic Net,12.636122086892177
Example 1,Elastic Net,9.519798842294811
Example 1,Elastic Net,9.893032532698177
Example 1,Elastic Net,12.056726106979347
Example 1,Elastic Net,9.029503494141444
Example 1,Elastic Net,9.97190845875105
Example 1,Elastic Net,10.683605910468433
Example 1,Elastic Net,8.97367664827967
Example 1,Elastic Net,10.28379032291953
Example 1,Elastic Net,11.781370600642662
Example 1,Elastic Net,10.880222155101265
Example 1,Ridge,10.484327871248114
Example 1,Ridge,10.929203726224609
Example 1,Ridge,10.587664931479875
Example 1,Ridge,11.222309334525452
Example 1,Ridge,9.330038208381218
Example 1,Ridge,11.99268683288878
Example 1,Ridge,11.611907230026222
Example 1,Ridge,11.220472185359156
Example 1,Ridge,8.082022154859295
Example 1,Ridge,12.433670189003369
Example 1,Ridge,9.005335615169745
Example 1,Ridge,10.966517602309317
Example 1,Ridge,12.112448065189199
Example 1,Ridge,9.888717840932896
Example 1,Ridge,9.605225301492613
Example 1,Ridge,10.833036086603228
Example 1,Ridge,11.861808263254494
Example 1,Ridge,9.838441307432433
Example 1,Ridge,9.940416386070545
Example 1,Ridge,10.40423625337828
Example 1,Ridge,11.81206774758996
Example 1,Ridge,11.981920330251075
Example 1,Ridge,10.901039740452225
Example 1,Ridge,9.578278696430308
Example 1,Ridge,12.296542294200668
Example 1,Ridge,11.396572710938015
Example 1,Ridge,11.273866956201473
Example 1,Ridge,9.53278928500034
Example 1,Ridge,11.409954007791514
Example 1,Ridge,12.072148888040735
Example 1,Ridge,10.876460158936291
Example 1,Ridge,10.310112247214136
Example 1,Ridge,12.192114534533207
Example 1,Ridge,11.4270504656853
Example 1,Ridge,10.633364167104617
Example 1,Ridge,10.192287090815233
Example 1,Ridge,9.869357626076226
Example 1,Ridge,12.39896101228106
Example 1,Ridge,9.910981269520352
Example 1,Ridge,13.216885018726046
Example 1,Ridge,9.517805707093512
Example 1,Ridge,9.084599216598033
Example 1,Ridge,12.533219821513041
Example 1,Ridge,8.663022008059082
Example 1,Ridge,10.009440667403137
Example 1,Ridge,10.773150899822415
Example 1,Ridge,9.601979331544158
Example 1,Ridge,10.316188984598885
Example 1,Ridge,11.742272559737001
Example 1,Ridge,10.376967853340272
Example 1,RFS Unopt,10.409054174022616
Example 1,RFS Unopt,10.430515796437989
Example 1,RFS Unopt,10.155713062878593
Example 1,RFS Unopt,10.827022906952633
Example 1,RFS Unopt,9.702328303251104
Example 1,RFS Unopt,13.083846356009525
Example 1,RFS Unopt,12.668071076450175
Example 1,RFS Unopt,12.201852280070561
Example 1,RFS Unopt,8.312715759244371
Example 1,RFS Unopt,11.11262464672264
Example 1,RFS Unopt,9.25716713251815
Example 1,RFS Unopt,13.67041648186754
Example 1,RFS Unopt,11.089399584343255
Example 1,RFS Unopt,12.511507125938717
Example 1,RFS Unopt,9.27762672903423
Example 1,RFS Unopt,10.558216976283928
Example 1,RFS Unopt,12.746120328770704
Example 1,RFS Unopt,14.711963771247996
Example 1,RFS Unopt,8.800598333734651
Example 1,RFS Unopt,12.114642897093344
Example 1,RFS Unopt,11.35115964206104
Example 1,RFS Unopt,11.168884229004357
Example 1,RFS Unopt,11.970397700677221
Example 1,RFS Unopt,8.892458213820566
Example 1,RFS Unopt,12.240279901914382
Example 1,RFS Unopt,10.978786861459918
Example 1,RFS Unopt,15.052047477250914
Example 1,RFS Unopt,9.056453630606386
Example 1,RFS Unopt,10.692142967257656
Example 1,RFS Unopt,11.678697243122594
Example 1,RFS Unopt,10.840485488215071
Example 1,RFS Unopt,10.190894138224131
Example 1,RFS Unopt,12.397838339979248
Example 1,RFS Unopt,10.51348772332345
Example 1,RFS Unopt,10.773632626943815
Example 1,RFS Unopt,10.702273627642553
Example 1,RFS Unopt,9.261453909800029
Example 1,RFS Unopt,11.483310343411368
Example 1,RFS Unopt,9.732857630403851
Example 1,RFS Unopt,12.64766472918231
Example 1,RFS Unopt,9.954642092545892
Example 1,RFS Unopt,10.094263892073792
Example 1,RFS Unopt,13.148009880512182
Example 1,RFS Unopt,9.625840539779311
Example 1,RFS Unopt,10.27238973973002
Example 1,RFS Unopt,10.737055771438163
Example 1,RFS Unopt,12.553823333071845
Example 1,RFS Unopt,12.073805933739504
Example 1,RFS Unopt,11.541200592783662
Example 1,RFS Unopt,10.300863213734111
Example 1,RFS Opt,15.61947079057871
Example 1,RFS Opt,12.78676046339179
Example 1,RFS Opt,13.272851062501061
Example 1,RFS Opt,11.92926777104743
Example 1,RFS Opt,13.899710364385028
Example 1,RFS Opt,17.514698633920368
Example 1,RFS Opt,13.184913666499888
Example 1,RFS Opt,28.847207438938675
Example 1,RFS Opt,8.018539492848538
Example 1,RFS Opt,10.490801894734565
Example 1,RFS Opt,8.338608715644487
Example 1,RFS Opt,16.838234962287217
Example 1,RFS Opt,14.602174657335539
Example 1,RFS Opt,12.472961896147034
Example 1,RFS Opt,9.087549996829248
Example 1,RFS Opt,11.433544599702017
Example 1,RFS Opt,11.873502544832157
Example 1,RFS Opt,13.256461515596435
Example 1,RFS Opt,8.41138910730412
Example 1,RFS Opt,30.123575002793846
Example 1,RFS Opt,10.842789675646797
Example 1,RFS Opt,11.110947923372072
Example 1,RFS Opt,13.555841836408744
Example 1,RFS Opt,8.80752367275284
Example 1,RFS Opt,13.219195076888026
Example 1,RFS Opt,11.45698551123181
Example 1,RFS Opt,13.615720311131982
Example 1,RFS Opt,12.00360381527458
Example 1,RFS Opt,11.816182617221779
Example 1,RFS Opt,12.489247242081511
Example 1,RFS Opt,14.640244913697858
Example 1,RFS Opt,11.50829946228376
Example 1,RFS Opt,16.476300146078437
Example 1,RFS Opt,11.8749752131111
Example 1,RFS Opt,10.64048252357162
Example 1,RFS Opt,10.959181023631361
Example 1,RFS Opt,9.63350853573896
Example 1,RFS Opt,15.989212626771886
Example 1,RFS Opt,13.255962556208647
Example 1,RFS Opt,10.385328001102822
Example 1,RFS Opt,9.87416939718391
Example 1,RFS Opt,9.993699134854445
Example 1,RFS Opt,12.13796566838602
Example 1,RFS Opt,9.465659062870373
Example 1,RFS Opt,12.315291678773704
Example 1,RFS Opt,12.270216142704967
Example 1,RFS Opt,10.599855627717039
Example 1,RFS Opt,10.834570224252419
Example 1,RFS Opt,11.633757412196477
Example 1,RFS Opt,15.21198402349774
Example 1,FS,15.619470790578719
Example 1,FS,13.43649153155388
Example 1,FS,12.105995154692287
Example 1,FS,11.929267771047426
Example 1,FS,10.992303324747379
Example 1,FS,18.341122625084143
Example 1,FS,15.219793629259893
Example 1,FS,28.847207438938682
Example 1,FS,8.106064508055034
Example 1,FS,11.113711579355325
Example 1,FS,8.338608715644495
Example 1,FS,16.83823496228723
Example 1,FS,14.602174657335555
Example 1,FS,11.091122078652115
Example 1,FS,11.479777832256998
Example 1,FS,11.360887854413281
Example 1,FS,11.300910444336639
Example 1,FS,11.259778536905799
Example 1,FS,11.313065660259424
Example 1,FS,30.123575002793846
Example 1,FS,12.684801488570155
Example 1,FS,11.124205187342614
Example 1,FS,16.288889645166844
Example 1,FS,13.61004320140464
Example 1,FS,10.132534898556806
Example 1,FS,11.656097254977048
Example 1,FS,12.69787546565401
Example 1,FS,12.003603815274577
Example 1,FS,12.051298504938044
Example 1,FS,13.496082351465326
Example 1,FS,16.23811004412478
Example 1,FS,11.703983749273492
Example 1,FS,18.112243881621907
Example 1,FS,12.234889955361412
Example 1,FS,11.685921758827481
Example 1,FS,9.764890583163156
Example 1,FS,10.52477386473402
Example 1,FS,15.989212626771902
